trade_type,dms_orig,dms_dest,dms_mode,sctg2,fr_orig,fr_dest,fr_inmode,fr_outmode,tons_2024,current_value_2024
Domestic flows,Los Angeles CA,Rest of HI,Air (include truck-air),Live animals/fish,,,,,30.708,1549171
Domestic flows,Honolulu HI,Honolulu HI,Truck,Live animals/fish,,,,,21567.967,218941679
Domestic flows,Rest of HI,Sacramento CA,Multiple modes & mail,Live animals/fish,,,,,4241.821,18740108
Domestic flows,Rest of HI,Rest of HI,Multiple modes & mail,Live animals/fish,,,,,23210.187,193666829
Domestic flows,San Francisco CA,Rest of HI,Multiple modes & mail,Cereal grains,,,,,48.506,1181501
Domestic flows,Honolulu HI,Honolulu HI,Truck,Cereal grains,,,,,28877.08,166695164
Domestic flows,Rest of HI,Rest of HI,Truck,Cereal grains,,,,,11056.389,51785846
Domestic flows,Rest of HI,Rest of HI,Multiple modes & mail,Cereal grains,,,,,5131.258,29671063
Domestic flows,Rest of AZ,Honolulu HI,Air (include truck-air),Other ag prods.,,,,,0.049,499
Domestic flows,Rest of AZ,Honolulu HI,Multiple modes & mail,Other ag prods.,,,,,10646.003,3963754
Domestic flows,Rest of AZ,Rest of HI,Air (include truck-air),Other ag prods.,,,,,0.049,354
Domestic flows,Los Angeles CA,Honolulu HI,Air (include truck-air),Other ag prods.,,,,,4078.718,14930217
Domestic flows,Los Angeles CA,Honolulu HI,Multiple modes & mail,Other ag prods.,,,,,54712.025,65176298
Domestic flows,Los Angeles CA,Rest of HI,Air (include truck-air),Other ag prods.,,,,,0.053,1228
Domestic flows,Los Angeles CA,Rest of HI,Multiple modes & mail,Other ag prods.,,,,,8471.88,23282010
Domestic flows,Sacramento CA,Rest of HI,Multiple modes & mail,Other ag prods.,,,,,684.739,57422
Domestic flows,San Diego CA,Honolulu HI,Air (include truck-air),Other ag prods.,,,,,0.05,1582
Domestic flows,San Francisco CA,Honolulu HI,Air (include truck-air),Other ag prods.,,,,,59.705,1236901
Domestic flows,San Francisco CA,Honolulu HI,Multiple modes & mail,Other ag prods.,,,,,75.757,13288
Domestic flows,San Francisco CA,Rest of HI,Air (include truck-air),Other ag prods.,,,,,0.05,165
Domestic flows,San Francisco CA,Rest of HI,Multiple modes & mail,Other ag prods.,,,,,403.441,2404802
Domestic flows,Fresno CA,Honolulu HI,Multiple modes & mail,Other ag prods.,,,,,1289.594,1208270
Domestic flows,Miami FL,Honolulu HI,Multiple modes & mail,Other ag prods.,,,,,0.224,114969
Domestic flows,Miami FL,Rest of HI,Air (include truck-air),Other ag prods.,,,,,892.694,15397823
Domestic flows,Miami FL,Rest of HI,Multiple modes & mail,Other ag prods.,,,,,4.876,782
Domestic flows,Honolulu HI,Phoenix AZ,Multiple modes & mail,Other ag prods.,,,,,0.039,100
Domestic flows,Honolulu HI,Los Angeles CA,Air (include truck-air),Other ag prods.,,,,,0.048,102
Domestic flows,Honolulu HI,Los Angeles CA,Multiple modes & mail,Other ag prods.,,,,,0.04,99
Domestic flows,Honolulu HI,Sacramento CA,Air (include truck-air),Other ag prods.,,,,,0.039,850
Domestic flows,Honolulu HI,San Diego CA,Air (include truck-air),Other ag prods.,,,,,0.051,101
Domestic flows,Honolulu HI,San Diego CA,Multiple modes & mail,Other ag prods.,,,,,0.04,99
Domestic flows,Honolulu HI,San Francisco CA,Air (include truck-air),Other ag prods.,,,,,0.046,101
Domestic flows,Honolulu HI,San Francisco CA,Multiple modes & mail,Other ag prods.,,,,,0.039,99
Domestic flows,Honolulu HI,Rest of CA,Air (include truck-air),Other ag prods.,,,,,0.039,667
Domestic flows,Honolulu HI,Rest of CA,Multiple modes & mail,Other ag prods.,,,,,0.039,141
Domestic flows,Honolulu HI,Denver CO,Multiple modes & mail,Other ag prods.,,,,,0.039,100
Domestic flows,Honolulu HI,Rest of CO,Multiple modes & mail,Other ag prods.,,,,,0.039,127
Domestic flows,Honolulu HI,New York NY-NJ-CT-PA (CT Part),Multiple modes & mail,Other ag prods.,,,,,0.413,177382
Domestic flows,Honolulu HI,Washington DC-VA-MD-WV (DC Part),Air (include truck-air),Other ag prods.,,,,,0.081,122
Domestic flows,Honolulu HI,Washington DC-VA-MD-WV (DC Part),Multiple modes & mail,Other ag prods.,,,,,0.048,368
Domestic flows,Honolulu HI,Miami FL,Multiple modes & mail,Other ag prods.,,,,,0.039,1693
Domestic flows,Honolulu HI,Orlando FL,Multiple modes & mail,Other ag prods.,,,,,0.039,120
Domestic flows,Honolulu HI,Tampa FL,Multiple modes & mail,Other ag prods.,,,,,0.188,92152
Domestic flows,Honolulu HI,Rest of FL,Multiple modes & mail,Other ag prods.,,,,,0.039,99
Domestic flows,Honolulu HI,Honolulu HI,Truck,Other ag prods.,,,,,480527.3,550861667
Domestic flows,Honolulu HI,Honolulu HI,Multiple modes & mail,Other ag prods.,,,,,0.046,100
Domestic flows,Honolulu HI,Rest of HI,Water,Other ag prods.,,,,,0.041,99
Domestic flows,Honolulu HI,Rest of HI,Air (include truck-air),Other ag prods.,,,,,2471.496,31070560
Domestic flows,Honolulu HI,Rest of HI,Multiple modes & mail,Other ag prods.,,,,,19937.626,84682915
Domestic flows,Honolulu HI,Idaho,Multiple modes & mail,Other ag prods.,,,,,0.039,99
Domestic flows,Honolulu HI,Chicago IL-IN-WI (IL Part),Multiple modes & mail,Other ag prods.,,,,,0.039,100
Domestic flows,Honolulu HI,Rest of IL,Multiple modes & mail,Other ag prods.,,,,,0.039,157
Domestic flows,Honolulu HI,Rest of IN,Multiple modes & mail,Other ag prods.,,,,,0.039,282
Domestic flows,Honolulu HI,Iowa,Air (include truck-air),Other ag prods.,,,,,0.485,228771
Domestic flows,Honolulu HI,Rest of LA,Multiple modes & mail,Other ag prods.,,,,,0.039,5027
Domestic flows,Honolulu HI,Maine,Multiple modes & mail,Other ag prods.,,,,,0.039,12834
Domestic flows,Honolulu HI,Baltimore MD,Multiple modes & mail,Other ag prods.,,,,,0.039,6932
Domestic flows,Honolulu HI,Boston MA-RI-NH-CT (MA Part),Multiple modes & mail,Other ag prods.,,,,,0.039,100
Domestic flows,Honolulu HI,Detroit MI,Multiple modes & mail,Other ag prods.,,,,,0.907,383198
Domestic flows,Honolulu HI,Grand Rapids MI,Multiple modes & mail,Other ag prods.,,,,,1.713,891709
Domestic flows,Honolulu HI,Mississippi,Multiple modes & mail,Other ag prods.,,,,,0.097,283
Domestic flows,Honolulu HI,Kansas City MO-KS (MO Part),Multiple modes & mail,Other ag prods.,,,,,0.048,99
Domestic flows,Honolulu HI,St. Louis MO-IL (MO Part),Multiple modes & mail,Other ag prods.,,,,,0.039,99
Domestic flows,Honolulu HI,Rest of MO,Air (include truck-air),Other ag prods.,,,,,0.209,105684
Domestic flows,Honolulu HI,Omaha NE-IA (NE Part),Multiple modes & mail,Other ag prods.,,,,,0.039,575
Domestic flows,Honolulu HI,Rest of NE,Multiple modes & mail,Other ag prods.,,,,,0.054,99
Domestic flows,Honolulu HI,Las Vegas NV-AZ (NV Part),Air (include truck-air),Other ag prods.,,,,,7.663,1548
Domestic flows,Honolulu HI,New York NY-NJ-CT-PA (NJ Part),Multiple modes & mail,Other ag prods.,,,,,0.039,99
Domestic flows,Honolulu HI,Philadelphia PA-NJ-DE-MD (NJ Part),Multiple modes & mail,Other ag prods.,,,,,0.1,99
Domestic flows,Honolulu HI,New York NY-NJ-CT-PA (NY Part),Multiple modes & mail,Other ag prods.,,,,,0.039,20149
Domestic flows,Honolulu HI,Charlotte NC-SC (NC Part),Air (include truck-air),Other ag prods.,,,,,0.041,99
Domestic flows,Honolulu HI,Charlotte NC-SC (NC Part),Multiple modes & mail,Other ag prods.,,,,,0.04,99
Domestic flows,Honolulu HI,Raleigh-Durham NC,Multiple modes & mail,Other ag prods.,,,,,0.039,101
Domestic flows,Honolulu HI,Cincinnati OH-KY-IN (OH Part),Multiple modes & mail,Other ag prods.,,,,,0.317,150356
Domestic flows,Honolulu HI,Oklahoma City OK,Multiple modes & mail,Other ag prods.,,,,,1.27,551480
Domestic flows,Honolulu HI,Portland OR-WA (OR Part),Multiple modes & mail,Other ag prods.,,,,,0.039,99
Domestic flows,Honolulu HI,Rest of OR,Multiple modes & mail,Other ag prods.,,,,,1.333,585212
Domestic flows,Honolulu HI,Pittsburgh PA-OH-WV (PA Part),Air (include truck-air),Other ag prods.,,,,,1.175,543500
Domestic flows,Honolulu HI,Boston MA-RI-NH-CT (RI Part),Air (include truck-air),Other ag prods.,,,,,0.048,99
Domestic flows,Honolulu HI,Boston MA-RI-NH-CT (RI Part),Multiple modes & mail,Other ag prods.,,,,,0.043,99
Domestic flows,Honolulu HI,Rest of SC,Multiple modes & mail,Other ag prods.,,,,,0.684,342258
Domestic flows,Honolulu HI,Dallas-Fort Worth TX-OK (TX Part),Multiple modes & mail,Other ag prods.,,,,,0.04,99
Domestic flows,Honolulu HI,El Paso TX-NM (TX Part),Multiple modes & mail,Other ag prods.,,,,,0.039,342
Domestic flows,Honolulu HI,Houston TX,Multiple modes & mail,Other ag prods.,,,,,0.039,100
Domestic flows,Honolulu HI,Rest of TX,Multiple modes & mail,Other ag prods.,,,,,0.039,129
Domestic flows,Honolulu HI,Salt Lake City UT,Air (include truck-air),Other ag prods.,,,,,0.039,101
Domestic flows,Honolulu HI,Salt Lake City UT,Multiple modes & mail,Other ag prods.,,,,,0.039,279
Domestic flows,Honolulu HI,Richmond VA,Multiple modes & mail,Other ag prods.,,,,,0.123,573
Domestic flows,Honolulu HI,Washington DC-VA-MD-WV (VA Part),Multiple modes & mail,Other ag prods.,,,,,0.698,319338
Domestic flows,Honolulu HI,Rest of VA,Multiple modes & mail,Other ag prods.,,,,,0.111,47785
Domestic flows,Honolulu HI,Seattle WA,Air (include truck-air),Other ag prods.,,,,,26.551,1402
Domestic flows,Honolulu HI,Seattle WA,Multiple modes & mail,Other ag prods.,,,,,0.039,99
Domestic flows,Honolulu HI,Portland OR-WA (WA Part),Multiple modes & mail,Other ag prods.,,,,,0.056,15137
Domestic flows,Honolulu HI,Rest of WA,Multiple modes & mail,Other ag prods.,,,,,0.039,99
Domestic flows,Honolulu HI,West Virginia,Multiple modes & mail,Other ag prods.,,,,,0.039,2731
Domestic flows,Honolulu HI,Milwaukee WI,Multiple modes & mail,Other ag prods.,,,,,0.317,144974
Domestic flows,Honolulu HI,Rest of WI,Multiple modes & mail,Other ag prods.,,,,,0.039,18681
Domestic flows,Rest of HI,Alaska,Multiple modes & mail,Other ag prods.,,,,,0.189,86606
Domestic flows,Rest of HI,Phoenix AZ,Multiple modes & mail,Other ag prods.,,,,,0.04,107
Domestic flows,Rest of HI,Los Angeles CA,Air (include truck-air),Other ag prods.,,,,,133.549,1733023
Domestic flows,Rest of HI,Los Angeles CA,Multiple modes & mail,Other ag prods.,,,,,14.836,828174
Domestic flows,Rest of HI,Sacramento CA,Multiple modes & mail,Other ag prods.,,,,,0.056,113
Domestic flows,Rest of HI,San Diego CA,Air (include truck-air),Other ag prods.,,,,,0.039,132
Domestic flows,Rest of HI,San Diego CA,Multiple modes & mail,Other ag prods.,,,,,2.521,1244892
Domestic flows,Rest of HI,San Francisco CA,Air (include truck-air),Other ag prods.,,,,,53.089,1039915
Domestic flows,Rest of HI,San Francisco CA,Multiple modes & mail,Other ag prods.,,,,,333.461,21580386
Domestic flows,Rest of HI,Rest of CA,Multiple modes & mail,Other ag prods.,,,,,0.144,63985
Domestic flows,Rest of HI,Denver CO,Air (include truck-air),Other ag prods.,,,,,1.988,860703
Domestic flows,Rest of HI,Denver CO,Multiple modes & mail,Other ag prods.,,,,,0.039,122
Domestic flows,Rest of HI,Rest of CO,Multiple modes & mail,Other ag prods.,,,,,0.039,8330
Domestic flows,Rest of HI,Hartford CT,Multiple modes & mail,Other ag prods.,,,,,0.166,762
Domestic flows,Rest of HI,Washington DC-VA-MD-WV (DC Part),Multiple modes & mail,Other ag prods.,,,,,0.906,150226
Domestic flows,Rest of HI,Jacksonville FL-GA  CFS Area (FL Part),Air (include truck-air),Other ag prods.,,,,,0.104,3931
Domestic flows,Rest of HI,Miami FL,Air (include truck-air),Other ag prods.,,,,,83.174,701887
Domestic flows,Rest of HI,Miami FL,Multiple modes & mail,Other ag prods.,,,,,2235.083,10996835
Domestic flows,Rest of HI,Orlando FL,Air (include truck-air),Other ag prods.,,,,,0.209,100212
Domestic flows,Rest of HI,Orlando FL,Multiple modes & mail,Other ag prods.,,,,,0.061,27602
Domestic flows,Rest of HI,Tampa FL,Air (include truck-air),Other ag prods.,,,,,0.06,99
Domestic flows,Rest of HI,Rest of FL,Air (include truck-air),Other ag prods.,,,,,0.039,105
Domestic flows,Rest of HI,Rest of FL,Multiple modes & mail,Other ag prods.,,,,,1.633,691927
Domestic flows,Rest of HI,Atlanta GA,Multiple modes & mail,Other ag prods.,,,,,0.104,241
Domestic flows,Rest of HI,Rest of GA,Air (include truck-air),Other ag prods.,,,,,0.309,620
Domestic flows,Rest of HI,Honolulu HI,Air (include truck-air),Other ag prods.,,,,,1929.885,8112383
Domestic flows,Rest of HI,Honolulu HI,Multiple modes & mail,Other ag prods.,,,,,818.333,9857845
Domestic flows,Rest of HI,Rest of HI,Truck,Other ag prods.,,,,,30048.463,150478078
Domestic flows,Rest of HI,Rest of HI,Air (include truck-air),Other ag prods.,,,,,115.961,2069525
Domestic flows,Rest of HI,Rest of HI,Multiple modes & mail,Other ag prods.,,,,,185230.862,248522306
Domestic flows,Rest of HI,Idaho,Multiple modes & mail,Other ag prods.,,,,,0.263,693
Domestic flows,Rest of HI,Chicago IL-IN-WI (IL Part),Multiple modes & mail,Other ag prods.,,,,,1.533,647285
Domestic flows,Rest of HI,Rest of IL,Multiple modes & mail,Other ag prods.,,,,,0.254,293
Domestic flows,Rest of HI,Rest of IN,Multiple modes & mail,Other ag prods.,,,,,0.181,285
Domestic flows,Rest of HI,Iowa,Multiple modes & mail,Other ag prods.,,,,,0.228,594
Domestic flows,Rest of HI,Rest of KS,Multiple modes & mail,Other ag prods.,,,,,0.04,203
Domestic flows,Rest of HI,Rest of LA,Multiple modes & mail,Other ag prods.,,,,,0.062,3327
Domestic flows,Rest of HI,Maine,Air (include truck-air),Other ag prods.,,,,,0.27,100
Domestic flows,Rest of HI,Boston MA-RI-NH-CT (MA Part),Air (include truck-air),Other ag prods.,,,,,0.058,105
Domestic flows,Rest of HI,Boston MA-RI-NH-CT (MA Part),Multiple modes & mail,Other ag prods.,,,,,0.058,178
Domestic flows,Rest of HI,Rest of MA,Air (include truck-air),Other ag prods.,,,,,0.137,100
Domestic flows,Rest of HI,Grand Rapids MI,Air (include truck-air),Other ag prods.,,,,,0.176,100
Domestic flows,Rest of HI,Minneapolis-St. Paul MN-WI (MN Part),Multiple modes & mail,Other ag prods.,,,,,1.396,749550
Domestic flows,Rest of HI,Kansas City MO-KS (MO Part),Multiple modes & mail,Other ag prods.,,,,,0.251,890
Domestic flows,Rest of HI,St. Louis MO-IL (MO Part),Multiple modes & mail,Other ag prods.,,,,,0.039,14133
Domestic flows,Rest of HI,Omaha NE-IA (NE Part),Multiple modes & mail,Other ag prods.,,,,,0.069,16151
Domestic flows,Rest of HI,Las Vegas NV-AZ (NV Part),Air (include truck-air),Other ag prods.,,,,,0.187,90450
Domestic flows,Rest of HI,Las Vegas NV-AZ (NV Part),Multiple modes & mail,Other ag prods.,,,,,1.055,498814
Domestic flows,Rest of HI,Rest of NV,Multiple modes & mail,Other ag prods.,,,,,0.039,101
Domestic flows,Rest of HI,New York NY-NJ-CT-PA (NJ Part),Air (include truck-air),Other ag prods.,,,,,0.039,3646
Domestic flows,Rest of HI,New York NY-NJ-CT-PA (NJ Part),Multiple modes & mail,Other ag prods.,,,,,0.039,2101
Domestic flows,Rest of HI,New Mexico,Multiple modes & mail,Other ag prods.,,,,,0.107,548
Domestic flows,Rest of HI,New York NY-NJ-CT-PA (NY Part),Air (include truck-air),Other ag prods.,,,,,1.176,602431
Domestic flows,Rest of HI,New York NY-NJ-CT-PA (NY Part),Multiple modes & mail,Other ag prods.,,,,,1.179,575954
Domestic flows,Rest of HI,Rest of NC,Multiple modes & mail,Other ag prods.,,,,,0.085,99
Domestic flows,Rest of HI,Cleveland OH,Multiple modes & mail,Other ag prods.,,,,,0.051,25778
Domestic flows,Rest of HI,Dayton OH,Air (include truck-air),Other ag prods.,,,,,0.155,178
Domestic flows,Rest of HI,Dayton OH,Multiple modes & mail,Other ag prods.,,,,,0.129,215
Domestic flows,Rest of HI,Oklahoma City OK,Air (include truck-air),Other ag prods.,,,,,0.26,776
Domestic flows,Rest of HI,Rest of OK,Multiple modes & mail,Other ag prods.,,,,,0.039,253
Domestic flows,Rest of HI,Portland OR-WA (OR Part),Air (include truck-air),Other ag prods.,,,,,0.039,172
Domestic flows,Rest of HI,Portland OR-WA (OR Part),Multiple modes & mail,Other ag prods.,,,,,3.746,1630927
Domestic flows,Rest of HI,Rest of OR,Air (include truck-air),Other ag prods.,,,,,0.039,602
Domestic flows,Rest of HI,Rest of OR,Multiple modes & mail,Other ag prods.,,,,,0.039,850
Domestic flows,Rest of HI,Pittsburgh PA-OH-WV (PA Part),Multiple modes & mail,Other ag prods.,,,,,0.068,99
Domestic flows,Rest of HI,New York NY-NJ-CT-PA (PA Part),Multiple modes & mail,Other ag prods.,,,,,0.039,243
Domestic flows,Rest of HI,Rest of PA,Air (include truck-air),Other ag prods.,,,,,0.162,241
Domestic flows,Rest of HI,Rest of PA,Multiple modes & mail,Other ag prods.,,,,,0.115,302
Domestic flows,Rest of HI,Charleston SC,Multiple modes & mail,Other ag prods.,,,,,0.249,154
Domestic flows,Rest of HI,Greenville SC,Multiple modes & mail,Other ag prods.,,,,,0.452,29558
Domestic flows,Rest of HI,Nashville TN,Air (include truck-air),Other ag prods.,,,,,0.039,3415
Domestic flows,Rest of HI,Nashville TN,Multiple modes & mail,Other ag prods.,,,,,0.039,1750
Domestic flows,Rest of HI,Knoxville TN,Multiple modes & mail,Other ag prods.,,,,,0.063,104
Domestic flows,Rest of HI,Austin TX,Air (include truck-air),Other ag prods.,,,,,0.039,3737
Domestic flows,Rest of HI,Austin TX,Multiple modes & mail,Other ag prods.,,,,,0.039,3623
Domestic flows,Rest of HI,Dallas-Fort Worth TX-OK (TX Part),Air (include truck-air),Other ag prods.,,,,,0.039,155
Domestic flows,Rest of HI,Dallas-Fort Worth TX-OK (TX Part),Multiple modes & mail,Other ag prods.,,,,,0.039,780
Domestic flows,Rest of HI,Houston TX,Air (include truck-air),Other ag prods.,,,,,0.039,225
Domestic flows,Rest of HI,Houston TX,Multiple modes & mail,Other ag prods.,,,,,0.039,101
Domestic flows,Rest of HI,Rest of TX,Multiple modes & mail,Other ag prods.,,,,,0.109,3192
Domestic flows,Rest of HI,Salt Lake City UT,Multiple modes & mail,Other ag prods.,,,,,0.564,278937
Domestic flows,Rest of HI,Washington DC-VA-MD-WV (VA Part),Air (include truck-air),Other ag prods.,,,,,0.039,254
Domestic flows,Rest of HI,Washington DC-VA-MD-WV (VA Part),Multiple modes & mail,Other ag prods.,,,,,0.039,101
Domestic flows,Rest of HI,Seattle WA,Multiple modes & mail,Other ag prods.,,,,,1.533,752104
Domestic flows,Rest of HI,Rest of WA,Air (include truck-air),Other ag prods.,,,,,0.04,102
Domestic flows,Rest of HI,Milwaukee WI,Multiple modes & mail,Other ag prods.,,,,,0.31,793
Domestic flows,Chicago IL-IN-WI (IL Part),Rest of HI,Multiple modes & mail,Other ag prods.,,,,,0.06,269
Domestic flows,Iowa,Honolulu HI,Air (include truck-air),Other ag prods.,,,,,0.093,534
Domestic flows,New Mexico,Honolulu HI,Multiple modes & mail,Other ag prods.,,,,,0.056,29144
Domestic flows,New Mexico,Rest of HI,Multiple modes & mail,Other ag prods.,,,,,4.036,2093410
Domestic flows,Buffalo NY  CFS Area,Honolulu HI,Multiple modes & mail,Other ag prods.,,,,,0.055,223
Domestic flows,Buffalo NY  CFS Area,Rest of HI,Multiple modes & mail,Other ag prods.,,,,,0.084,113
Domestic flows,Rochester NY,Honolulu HI,Multiple modes & mail,Other ag prods.,,,,,5.018,2266817
Domestic flows,Rochester NY,Rest of HI,Multiple modes & mail,Other ag prods.,,,,,0.685,351282
Domestic flows,Rest of OH,Rest of HI,Multiple modes & mail,Other ag prods.,,,,,0.108,46624
Domestic flows,Portland OR-WA (OR Part),Honolulu HI,Multiple modes & mail,Other ag prods.,,,,,860.547,12856001
Domestic flows,Rest of OR,Honolulu HI,Air (include truck-air),Other ag prods.,,,,,16.525,1750
Domestic flows,Rest of OR,Rest of HI,Air (include truck-air),Other ag prods.,,,,,359.347,3540972
Domestic flows,Salt Lake City UT,Honolulu HI,Multiple modes & mail,Other ag prods.,,,,,0.473,198757
Domestic flows,Seattle WA,Honolulu HI,Multiple modes & mail,Other ag prods.,,,,,0.059,1430
Domestic flows,Portland OR-WA (WA Part),Rest of HI,Air (include truck-air),Other ag prods.,,,,,0.044,120
Domestic flows,Rest of WA,Honolulu HI,Multiple modes & mail,Other ag prods.,,,,,250.659,181573
Domestic flows,Tucson AZ,Rest of HI,Multiple modes & mail,Animal feed,,,,,1.156,99808
Domestic flows,Rest of AZ,Honolulu HI,Multiple modes & mail,Animal feed,,,,,7487.028,21078941
Domestic flows,Los Angeles CA,Honolulu HI,Multiple modes & mail,Animal feed,,,,,9534.106,92569566
Domestic flows,Los Angeles CA,Rest of HI,Multiple modes & mail,Animal feed,,,,,10807.259,99574220
Domestic flows,Sacramento CA,Rest of HI,Multiple modes & mail,Animal feed,,,,,0.07,3496
Domestic flows,San Francisco CA,Rest of HI,Multiple modes & mail,Animal feed,,,,,18153.303,10583654
Domestic flows,Rest of CA,Rest of HI,Multiple modes & mail,Animal feed,,,,,23.859,1745993
Domestic flows,Honolulu HI,Honolulu HI,Truck,Animal feed,,,,,46529.776,95949102
Domestic flows,Honolulu HI,Honolulu HI,Multiple modes & mail,Animal feed,,,,,0.114,177
Domestic flows,Honolulu HI,Rest of HI,Air (include truck-air),Animal feed,,,,,13.093,1706772
Domestic flows,Honolulu HI,Rest of HI,Multiple modes & mail,Animal feed,,,,,2490.802,8264397
Domestic flows,Rest of HI,Rest of HI,Truck,Animal feed,,,,,11713.305,33341772
Domestic flows,Rest of HI,Rest of HI,Multiple modes & mail,Animal feed,,,,,7448.634,33853471
Domestic flows,Rest of KY,Honolulu HI,Multiple modes & mail,Animal feed,,,,,0.208,17965
Domestic flows,Rest of NV,Rest of HI,Multiple modes & mail,Animal feed,,,,,1911.591,179452
Domestic flows,North Dakota,Rest of HI,Multiple modes & mail,Animal feed,,,,,49.977,24381
Domestic flows,Richmond VA,Honolulu HI,Multiple modes & mail,Animal feed,,,,,0.053,175
Domestic flows,Seattle WA,Honolulu HI,Air (include truck-air),Animal feed,,,,,13.123,2074371
Domestic flows,Seattle WA,Honolulu HI,Multiple modes & mail,Animal feed,,,,,0.146,11175
Domestic flows,Seattle WA,Rest of HI,Air (include truck-air),Animal feed,,,,,0.952,156497
Domestic flows,Rest of AL,Rest of HI,Multiple modes & mail,Meat/seafood,,,,,450.792,291090
Domestic flows,Alaska,Honolulu HI,Multiple modes & mail,Meat/seafood,,,,,0.283,727
Domestic flows,Los Angeles CA,Honolulu HI,Air (include truck-air),Meat/seafood,,,,,14459.705,141557213
Domestic flows,Los Angeles CA,Honolulu HI,Multiple modes & mail,Meat/seafood,,,,,9166.798,54826071
Domestic flows,Los Angeles CA,Rest of HI,Air (include truck-air),Meat/seafood,,,,,1774.099,42477414
Domestic flows,Los Angeles CA,Rest of HI,Multiple modes & mail,Meat/seafood,,,,,1845.263,11555981
Domestic flows,Sacramento CA,Honolulu HI,Air (include truck-air),Meat/seafood,,,,,111.012,4723638
Domestic flows,Sacramento CA,Honolulu HI,Multiple modes & mail,Meat/seafood,,,,,131.929,162184
Domestic flows,Sacramento CA,Rest of HI,Multiple modes & mail,Meat/seafood,,,,,989.998,6493629
Domestic flows,San Francisco CA,Honolulu HI,Air (include truck-air),Meat/seafood,,,,,129.575,4981356
Domestic flows,San Francisco CA,Rest of HI,Air (include truck-air),Meat/seafood,,,,,203.87,2338259
Domestic flows,Miami FL,Rest of HI,Air (include truck-air),Meat/seafood,,,,,1714.517,1794573
Domestic flows,Miami FL,Rest of HI,Multiple modes & mail,Meat/seafood,,,,,10380.802,6175010
Domestic flows,Honolulu HI,Birmingham AL,Air (include truck-air),Meat/seafood,,,,,7.548,1154385
Domestic flows,Honolulu HI,Alaska,Air (include truck-air),Meat/seafood,,,,,8.523,1032114
Domestic flows,Honolulu HI,Phoenix AZ,Air (include truck-air),Meat/seafood,,,,,0.061,7909
Domestic flows,Honolulu HI,Tucson AZ,Air (include truck-air),Meat/seafood,,,,,0.374,966
Domestic flows,Honolulu HI,Rest of AZ,Air (include truck-air),Meat/seafood,,,,,16.772,2226446
Domestic flows,Honolulu HI,Arkansas,Air (include truck-air),Meat/seafood,,,,,54.747,8377718
Domestic flows,Honolulu HI,Los Angeles CA,Air (include truck-air),Meat/seafood,,,,,1163.856,24289403
Domestic flows,Honolulu HI,Sacramento CA,Air (include truck-air),Meat/seafood,,,,,11.569,1643570
Domestic flows,Honolulu HI,San Diego CA,Air (include truck-air),Meat/seafood,,,,,50.689,1205414
Domestic flows,Honolulu HI,San Francisco CA,Air (include truck-air),Meat/seafood,,,,,2265.302,41092672
Domestic flows,Honolulu HI,Fresno CA,Air (include truck-air),Meat/seafood,,,,,16.297,2323259
Domestic flows,Honolulu HI,Rest of CA,Air (include truck-air),Meat/seafood,,,,,0.047,1805
Domestic flows,Honolulu HI,Denver CO,Air (include truck-air),Meat/seafood,,,,,15.943,2333429
Domestic flows,Honolulu HI,Rest of CO,Air (include truck-air),Meat/seafood,,,,,29.908,4559639
Domestic flows,Honolulu HI,Hartford CT,Air (include truck-air),Meat/seafood,,,,,8.512,1191219
Domestic flows,Honolulu HI,New York NY-NJ-CT-PA (CT Part),Air (include truck-air),Meat/seafood,,,,,25.398,3298167
Domestic flows,Honolulu HI,Philadelphia PA-NJ-DE-MD (DE Part),Air (include truck-air),Meat/seafood,,,,,1.719,252318
Domestic flows,Honolulu HI,Jacksonville FL-GA  CFS Area (FL Part),Air (include truck-air),Meat/seafood,,,,,10.985,1402390
Domestic flows,Honolulu HI,Miami FL,Air (include truck-air),Meat/seafood,,,,,21.03,3215421
Domestic flows,Honolulu HI,Orlando FL,Air (include truck-air),Meat/seafood,,,,,0.134,16982
Domestic flows,Honolulu HI,Tampa FL,Air (include truck-air),Meat/seafood,,,,,19.662,2680367
Domestic flows,Honolulu HI,Rest of FL,Air (include truck-air),Meat/seafood,,,,,842.395,28740921
Domestic flows,Honolulu HI,Atlanta GA,Air (include truck-air),Meat/seafood,,,,,8.901,1249842
Domestic flows,Honolulu HI,Honolulu HI,Truck,Meat/seafood,,,,,64844.345,479605102
Domestic flows,Honolulu HI,Rest of HI,Water,Meat/seafood,,,,,9387.515,37651283
Domestic flows,Honolulu HI,Rest of HI,Air (include truck-air),Meat/seafood,,,,,2109.909,25448279
Domestic flows,Honolulu HI,Rest of HI,Multiple modes & mail,Meat/seafood,,,,,7882.761,44405839
Domestic flows,Honolulu HI,Idaho,Air (include truck-air),Meat/seafood,,,,,0.047,1200
Domestic flows,Honolulu HI,Chicago IL-IN-WI (IL Part),Air (include truck-air),Meat/seafood,,,,,19.552,2864493
Domestic flows,Honolulu HI,Iowa,Air (include truck-air),Meat/seafood,,,,,0.387,57726
Domestic flows,Honolulu HI,Kansas City MO-KS (KS Part),Air (include truck-air),Meat/seafood,,,,,0.421,1077
Domestic flows,Honolulu HI,Louisville KY-IN (KY Part),Air (include truck-air),Meat/seafood,,,,,16.773,2523160
Domestic flows,Honolulu HI,Rest of KY,Air (include truck-air),Meat/seafood,,,,,44.982,13211
