trade_type,dms_origst,dms_destst,dms_mode,sctg2,fr_orig,fr_dest,fr_inmode,fr_outmode,tons_2024,current_value_2024
Domestic flows,California,Hawaii,Air (include truck-air),Live animals/fish,,,,,30.708,1549171
Domestic flows,Hawaii,California,Multiple modes & mail,Live animals/fish,,,,,4241.821,18740108
Domestic flows,Hawaii,Hawaii,Truck,Live animals/fish,,,,,21567.967,218941679
Domestic flows,Hawaii,Hawaii,Multiple modes & mail,Live animals/fish,,,,,23210.187,193666829
Domestic flows,California,Hawaii,Multiple modes & mail,Cereal grains,,,,,48.506,1181501
Domestic flows,Hawaii,Hawaii,Truck,Cereal grains,,,,,39933.469,218481010
Domestic flows,Hawaii,Hawaii,Multiple modes & mail,Cereal grains,,,,,5131.258,29671063
Domestic flows,Arizona,Hawaii,Air (include truck-air),Other ag prods.,,,,,0.098,853
Domestic flows,Arizona,Hawaii,Multiple modes & mail,Other ag prods.,,,,,10646.003,3963754
Domestic flows,California,Hawaii,Air (include truck-air),Other ag prods.,,,,,4138.576,16170093
Domestic flows,California,Hawaii,Multiple modes & mail,Other ag prods.,,,,,65637.436,92142090
Domestic flows,Florida,Hawaii,Air (include truck-air),Other ag prods.,,,,,892.694,15397823
Domestic flows,Florida,Hawaii,Multiple modes & mail,Other ag prods.,,,,,5.1,115751
Domestic flows,Hawaii,Alaska,Multiple modes & mail,Other ag prods.,,,,,0.189,86606
Domestic flows,Hawaii,Arizona,Multiple modes & mail,Other ag prods.,,,,,0.079,207
Domestic flows,Hawaii,California,Air (include truck-air),Other ag prods.,,,,,186.9,2774891
Domestic flows,Hawaii,California,Multiple modes & mail,Other ag prods.,,,,,351.176,23717988
Domestic flows,Hawaii,Colorado,Air (include truck-air),Other ag prods.,,,,,1.988,860703
Domestic flows,Hawaii,Colorado,Multiple modes & mail,Other ag prods.,,,,,0.156,8679
Domestic flows,Hawaii,Connecticut,Multiple modes & mail,Other ag prods.,,,,,0.579,178144
Domestic flows,Hawaii,Washington DC,Air (include truck-air),Other ag prods.,,,,,0.081,122
Domestic flows,Hawaii,Washington DC,Multiple modes & mail,Other ag prods.,,,,,0.954,150594
Domestic flows,Hawaii,Florida,Air (include truck-air),Other ag prods.,,,,,83.586,806234
Domestic flows,Hawaii,Florida,Multiple modes & mail,Other ag prods.,,,,,2237.082,11810428
Domestic flows,Hawaii,Georgia,Air (include truck-air),Other ag prods.,,,,,0.309,620
Domestic flows,Hawaii,Georgia,Multiple modes & mail,Other ag prods.,,,,,0.104,241
Domestic flows,Hawaii,Hawaii,Truck,Other ag prods.,,,,,510575.763,701339745
Domestic flows,Hawaii,Hawaii,Water,Other ag prods.,,,,,0.041,99
Domestic flows,Hawaii,Hawaii,Air (include truck-air),Other ag prods.,,,,,4517.342,41252468
Domestic flows,Hawaii,Hawaii,Multiple modes & mail,Other ag prods.,,,,,0.046,100
Domestic flows,Hawaii,Hawaii,Multiple modes & mail,Other ag prods.,,,,,205986.821,343063066
Domestic flows,Hawaii,Idaho,Multiple modes & mail,Other ag prods.,,,,,0.302,792
Domestic flows,Hawaii,Illinois,Multiple modes & mail,Other ag prods.,,,,,1.865,647835
Domestic flows,Hawaii,Indiana,Multiple modes & mail,Other ag prods.,,,,,0.22,567
Domestic flows,Hawaii,Iowa,Air (include truck-air),Other ag prods.,,,,,0.485,228771
Domestic flows,Hawaii,Iowa,Multiple modes & mail,Other ag prods.,,,,,0.228,594
Domestic flows,Hawaii,Kansas,Multiple modes & mail,Other ag prods.,,,,,0.04,203
Domestic flows,Hawaii,Louisiana,Multiple modes & mail,Other ag prods.,,,,,0.101,8354
Domestic flows,Hawaii,Maine,Air (include truck-air),Other ag prods.,,,,,0.27,100
Domestic flows,Hawaii,Maine,Multiple modes & mail,Other ag prods.,,,,,0.039,12834
Domestic flows,Hawaii,Maryland,Multiple modes & mail,Other ag prods.,,,,,0.039,6932
Domestic flows,Hawaii,Massachusetts,Air (include truck-air),Other ag prods.,,,,,0.195,205
Domestic flows,Hawaii,Massachusetts,Multiple modes & mail,Other ag prods.,,,,,0.097,278
Domestic flows,Hawaii,Michigan,Air (include truck-air),Other ag prods.,,,,,0.176,100
Domestic flows,Hawaii,Michigan,Multiple modes & mail,Other ag prods.,,,,,2.62,1274907
Domestic flows,Hawaii,Minnesota,Multiple modes & mail,Other ag prods.,,,,,1.396,749550
Domestic flows,Hawaii,Mississippi,Multiple modes & mail,Other ag prods.,,,,,0.097,283
Domestic flows,Hawaii,Missouri,Air (include truck-air),Other ag prods.,,,,,0.209,105684
Domestic flows,Hawaii,Missouri,Multiple modes & mail,Other ag prods.,,,,,0.377,15221
Domestic flows,Hawaii,Nebraska,Multiple modes & mail,Other ag prods.,,,,,0.162,16825
Domestic flows,Hawaii,Nevada,Air (include truck-air),Other ag prods.,,,,,7.85,91998
Domestic flows,Hawaii,Nevada,Multiple modes & mail,Other ag prods.,,,,,1.094,498915
Domestic flows,Hawaii,New Jersey,Air (include truck-air),Other ag prods.,,,,,0.039,3646
Domestic flows,Hawaii,New Jersey,Multiple modes & mail,Other ag prods.,,,,,0.178,2299
Domestic flows,Hawaii,New Mexico,Multiple modes & mail,Other ag prods.,,,,,0.107,548
Domestic flows,Hawaii,New York,Air (include truck-air),Other ag prods.,,,,,1.176,602431
Domestic flows,Hawaii,New York,Multiple modes & mail,Other ag prods.,,,,,1.218,596103
Domestic flows,Hawaii,North Carolina,Air (include truck-air),Other ag prods.,,,,,0.041,99
Domestic flows,Hawaii,North Carolina,Multiple modes & mail,Other ag prods.,,,,,0.164,299
Domestic flows,Hawaii,Ohio,Air (include truck-air),Other ag prods.,,,,,0.155,178
Domestic flows,Hawaii,Ohio,Multiple modes & mail,Other ag prods.,,,,,0.497,176349
Domestic flows,Hawaii,Oklahoma,Air (include truck-air),Other ag prods.,,,,,0.26,776
Domestic flows,Hawaii,Oklahoma,Multiple modes & mail,Other ag prods.,,,,,1.309,551733
Domestic flows,Hawaii,Oregon,Air (include truck-air),Other ag prods.,,,,,0.078,774
Domestic flows,Hawaii,Oregon,Multiple modes & mail,Other ag prods.,,,,,5.157,2217088
Domestic flows,Hawaii,Pennsylvania,Air (include truck-air),Other ag prods.,,,,,1.337,543741
Domestic flows,Hawaii,Pennsylvania,Multiple modes & mail,Other ag prods.,,,,,0.222,644
Domestic flows,Hawaii,Rhode Island,Air (include truck-air),Other ag prods.,,,,,0.048,99
Domestic flows,Hawaii,Rhode Island,Multiple modes & mail,Other ag prods.,,,,,0.043,99
Domestic flows,Hawaii,South Carolina,Multiple modes & mail,Other ag prods.,,,,,1.385,371970
Domestic flows,Hawaii,Tennessee,Air (include truck-air),Other ag prods.,,,,,0.039,3415
Domestic flows,Hawaii,Tennessee,Multiple modes & mail,Other ag prods.,,,,,0.102,1854
Domestic flows,Hawaii,Texas,Air (include truck-air),Other ag prods.,,,,,0.117,4117
Domestic flows,Hawaii,Texas,Multiple modes & mail,Other ag prods.,,,,,0.383,8366
Domestic flows,Hawaii,Utah,Air (include truck-air),Other ag prods.,,,,,0.039,101
Domestic flows,Hawaii,Utah,Multiple modes & mail,Other ag prods.,,,,,0.603,279216
Domestic flows,Hawaii,Virginia,Air (include truck-air),Other ag prods.,,,,,0.039,254
Domestic flows,Hawaii,Virginia,Multiple modes & mail,Other ag prods.,,,,,0.971,367797
Domestic flows,Hawaii,Washington,Air (include truck-air),Other ag prods.,,,,,26.591,1504
Domestic flows,Hawaii,Washington,Multiple modes & mail,Other ag prods.,,,,,1.667,767439
Domestic flows,Hawaii,West Virginia,Multiple modes & mail,Other ag prods.,,,,,0.039,2731
Domestic flows,Hawaii,Wisconsin,Multiple modes & mail,Other ag prods.,,,,,0.666,164448
Domestic flows,Illinois,Hawaii,Multiple modes & mail,Other ag prods.,,,,,0.06,269
Domestic flows,Iowa,Hawaii,Air (include truck-air),Other ag prods.,,,,,0.093,534
Domestic flows,New Mexico,Hawaii,Multiple modes & mail,Other ag prods.,,,,,4.092,2122554
Domestic flows,New York,Hawaii,Multiple modes & mail,Other ag prods.,,,,,5.842,2618435
Domestic flows,Ohio,Hawaii,Multiple modes & mail,Other ag prods.,,,,,0.108,46624
Domestic flows,Oregon,Hawaii,Air (include truck-air),Other ag prods.,,,,,375.872,3542722
Domestic flows,Oregon,Hawaii,Multiple modes & mail,Other ag prods.,,,,,860.547,12856001
Domestic flows,Utah,Hawaii,Multiple modes & mail,Other ag prods.,,,,,0.473,198757
Domestic flows,Washington,Hawaii,Air (include truck-air),Other ag prods.,,,,,0.044,120
Domestic flows,Washington,Hawaii,Multiple modes & mail,Other ag prods.,,,,,250.718,183003
Domestic flows,Arizona,Hawaii,Multiple modes & mail,Animal feed,,,,,7488.184,21178749
Domestic flows,California,Hawaii,Multiple modes & mail,Animal feed,,,,,38518.597,204476929
Domestic flows,Hawaii,Hawaii,Truck,Animal feed,,,,,58243.081,129290874
Domestic flows,Hawaii,Hawaii,Air (include truck-air),Animal feed,,,,,13.093,1706772
Domestic flows,Hawaii,Hawaii,Multiple modes & mail,Animal feed,,,,,0.114,177
Domestic flows,Hawaii,Hawaii,Multiple modes & mail,Animal feed,,,,,9939.436,42117868
Domestic flows,Kentucky,Hawaii,Multiple modes & mail,Animal feed,,,,,0.208,17965
Domestic flows,Nevada,Hawaii,Multiple modes & mail,Animal feed,,,,,1911.591,179452
Domestic flows,North Dakota,Hawaii,Multiple modes & mail,Animal feed,,,,,49.977,24381
Domestic flows,Virginia,Hawaii,Multiple modes & mail,Animal feed,,,,,0.053,175
Domestic flows,Washington,Hawaii,Air (include truck-air),Animal feed,,,,,14.075,2230868
Domestic flows,Washington,Hawaii,Multiple modes & mail,Animal feed,,,,,0.146,11175
Domestic flows,Alabama,Hawaii,Multiple modes & mail,Meat/seafood,,,,,450.792,291090
Domestic flows,Alaska,Hawaii,Multiple modes & mail,Meat/seafood,,,,,0.283,727
Domestic flows,California,Hawaii,Air (include truck-air),Meat/seafood,,,,,16678.261,196077880
Domestic flows,California,Hawaii,Multiple modes & mail,Meat/seafood,,,,,12133.988,73037865
Domestic flows,Florida,Hawaii,Air (include truck-air),Meat/seafood,,,,,1714.517,1794573
Domestic flows,Florida,Hawaii,Multiple modes & mail,Meat/seafood,,,,,10380.802,6175010
Domestic flows,Hawaii,Alabama,Air (include truck-air),Meat/seafood,,,,,7.548,1154385
Domestic flows,Hawaii,Alaska,Air (include truck-air),Meat/seafood,,,,,8.523,1032114
Domestic flows,Hawaii,Arizona,Air (include truck-air),Meat/seafood,,,,,17.207,2235321
Domestic flows,Hawaii,Arkansas,Air (include truck-air),Meat/seafood,,,,,54.747,8377718
Domestic flows,Hawaii,California,Air (include truck-air),Meat/seafood,,,,,3507.843,70564170
Domestic flows,Hawaii,Colorado,Air (include truck-air),Meat/seafood,,,,,45.851,6893068
Domestic flows,Hawaii,Connecticut,Air (include truck-air),Meat/seafood,,,,,33.91,4489386
Domestic flows,Hawaii,Delaware,Air (include truck-air),Meat/seafood,,,,,1.719,252318
Domestic flows,Hawaii,Florida,Air (include truck-air),Meat/seafood,,,,,894.206,36056081
Domestic flows,Hawaii,Georgia,Air (include truck-air),Meat/seafood,,,,,8.901,1249842
Domestic flows,Hawaii,Hawaii,Truck,Meat/seafood,,,,,90159.134,768982946
Domestic flows,Hawaii,Hawaii,Water,Meat/seafood,,,,,9387.515,37651283
Domestic flows,Hawaii,Hawaii,Air (include truck-air),Meat/seafood,,,,,2423.399,28705893
Domestic flows,Hawaii,Hawaii,Multiple modes & mail,Meat/seafood,,,,,10470.086,61822336
Domestic flows,Hawaii,Idaho,Air (include truck-air),Meat/seafood,,,,,0.047,1200
Domestic flows,Hawaii,Illinois,Air (include truck-air),Meat/seafood,,,,,19.552,2864493
Domestic flows,Hawaii,Iowa,Air (include truck-air),Meat/seafood,,,,,0.387,57726
Domestic flows,Hawaii,Kansas,Air (include truck-air),Meat/seafood,,,,,0.421,1077
Domestic flows,Hawaii,Kentucky,Air (include truck-air),Meat/seafood,,,,,61.755,2536371
Domestic flows,Hawaii,Louisiana,Air (include truck-air),Meat/seafood,,,,,34.171,1850083
Domestic flows,Hawaii,Maine,Air (include truck-air),Meat/seafood,,,,,7.636,1008016
Domestic flows,Hawaii,Maryland,Air (include truck-air),Meat/seafood,,,,,0.094,3124
Domestic flows,Hawaii,Massachusetts,Air (include truck-air),Meat/seafood,,,,,19.409,2423114
Domestic flows,Hawaii,Michigan,Air (include truck-air),Meat/seafood,,,,,11.022,1628802
Domestic flows,Hawaii,Minnesota,Air (include truck-air),Meat/seafood,,,,,15.586,2366404
Domestic flows,Hawaii,Missouri,Air (include truck-air),Meat/seafood,,,,,0.28,121
Domestic flows,Hawaii,Montana,Air (include truck-air),Meat/seafood,,,,,0.313,301
Domestic flows,Hawaii,Nebraska,Air (include truck-air),Meat/seafood,,,,,2.953,401312
Domestic flows,Hawaii,Nevada,Air (include truck-air),Meat/seafood,,,,,35.412,1125654
Domestic flows,Hawaii,New Hampshire,Air (include truck-air),Meat/seafood,,,,,18.406,2356041
Domestic flows,Hawaii,New Jersey,Air (include truck-air),Meat/seafood,,,,,43.914,1220088
Domestic flows,Hawaii,New Mexico,Air (include truck-air),Meat/seafood,,,,,0.645,99633
Domestic flows,Hawaii,New York,Air (include truck-air),Meat/seafood,,,,,58.067,7915083
Domestic flows,Hawaii,North Carolina,Air (include truck-air),Meat/seafood,,,,,8.964,1301084
Domestic flows,Hawaii,North Dakota,Air (include truck-air),Meat/seafood,,,,,42.615,805578
Domestic flows,Hawaii,Ohio,Air (include truck-air),Meat/seafood,,,,,18.756,2575764
Domestic flows,Hawaii,Oklahoma,Air (include truck-air),Meat/seafood,,,,,16.88,2392725
Domestic flows,Hawaii,Oregon,Air (include truck-air),Meat/seafood,,,,,0.047,827
Domestic flows,Hawaii,Pennsylvania,Air (include truck-air),Meat/seafood,,,,,1285.698,30538973
Domestic flows,Hawaii,South Carolina,Air (include truck-air),Meat/seafood,,,,,2.251,322023
Domestic flows,Hawaii,South Dakota,Air (include truck-air),Meat/seafood,,,,,0.545,67242
Domestic flows,Hawaii,Tennessee,Air (include truck-air),Meat/seafood,,,,,53.31,7746399
Domestic flows,Hawaii,Texas,Air (include truck-air),Meat/seafood,,,,,1099.106,42775931
Domestic flows,Hawaii,Utah,Air (include truck-air),Meat/seafood,,,,,7.389,935830
Domestic flows,Hawaii,Vermont,Air (include truck-air),Meat/seafood,,,,,8.897,1120817
Domestic flows,Hawaii,Virginia,Air (include truck-air),Meat/seafood,,,,,13.759,1757305
Domestic flows,Hawaii,Washington,Air (include truck-air),Meat/seafood,,,,,249.841,7181179
Domestic flows,Hawaii,West Virginia,Air (include truck-air),Meat/seafood,,,,,1.356,199387
Domestic flows,Hawaii,Wisconsin,Air (include truck-air),Meat/seafood,,,,,16.735,2308100
Domestic flows,Hawaii,Wyoming,Air (include truck-air),Meat/seafood,,,,,0.201,123
Domestic flows,Idaho,Hawaii,Multiple modes & mail,Meat/seafood,,,,,1059.175,4430239
Domestic flows,Illinois,Hawaii,Air (include truck-air),Meat/seafood,,,,,45.186,390783
Domestic flows,Iowa,Hawaii,Air (include truck-air),Meat/seafood,,,,,0.188,1882
Domestic flows,Kansas,Hawaii,Air (include truck-air),Meat/seafood,,,,,1.278,142897
Domestic flows,Maine,Hawaii,Air (include truck-air),Meat/seafood,,,,,946.794,21151118
Domestic flows,Massachusetts,Hawaii,Air (include truck-air),Meat/seafood,,,,,1445.212,13217419
Domestic flows,Oregon,Hawaii,Air (include truck-air),Meat/seafood,,,,,93.112,3521729
Domestic flows,Oregon,Hawaii,Multiple modes & mail,Meat/seafood,,,,,60.425,46903
Domestic flows,South Dakota,Hawaii,Multiple modes & mail,Meat/seafood,,,,,27.889,1553582
Domestic flows,Utah,Hawaii,Air (include truck-air),Meat/seafood,,,,,0.067,626
Domestic flows,Utah,Hawaii,Multiple modes & mail,Meat/seafood,,,,,2178.199,8164689
Domestic flows,Washington,Hawaii,Air (include truck-air),Meat/seafood,,,,,145.825,5213438
Domestic flows,Washington,Hawaii,Multiple modes & mail,Meat/seafood,,,,,204.085,2653824
Domestic flows,California,Hawaii,Water,Milled grain prods.,,,,,10128.457,17824481
Domestic flows,California,Hawaii,Air (include truck-air),Milled grain prods.,,,,,1880.499,9083218
Domestic flows,California,Hawaii,Multiple modes & mail,Milled grain prods.,,,,,191765.396,163164993
Domestic flows,Colorado,Hawaii,Air (include truck-air),Milled grain prods.,,,,,0.131,295
Domestic flows,Hawaii,California,Air (include truck-air),Milled grain prods.,,,,,0.456,1024
Domestic flows,Hawaii,Colorado,Air (include truck-air),Milled grain prods.,,,,,0.114,256
Domestic flows,Hawaii,Hawaii,Truck,Milled grain prods.,,,,,173212.139,374739421
Domestic flows,Hawaii,Hawaii,Water,Milled grain prods.,,,,,0.047,121
Domestic flows,Hawaii,Hawaii,Air (include truck-air),Milled grain prods.,,,,,11009.569,91145112
Domestic flows,Hawaii,Hawaii,Multiple modes & mail,Milled grain prods.,,,,,5681.794,21723111
Domestic flows,Hawaii,Massachusetts,Air (include truck-air),Milled grain prods.,,,,,0.114,256
Domestic flows,Hawaii,Nevada,Air (include truck-air),Milled grain prods.,,,,,0.228,512
Domestic flows,Hawaii,Oregon,Air (include truck-air),Milled grain prods.,,,,,0.046,7337
Domestic flows,Hawaii,Utah,Air (include truck-air),Milled grain prods.,,,,,0.228,512
Domestic flows,Hawaii,Wyoming,Air (include truck-air),Milled grain prods.,,,,,0.114,256
Domestic flows,Indiana,Hawaii,Multiple modes & mail,Milled grain prods.,,,,,5441.921,4134230
Domestic flows,Massachusetts,Hawaii,Air (include truck-air),Milled grain prods.,,,,,0.12,270
Domestic flows,Nevada,Hawaii,Air (include truck-air),Milled grain prods.,,,,,0.292,660
Domestic flows,New Jersey,Hawaii,Air (include truck-air),Milled grain prods.,,,,,617.968,2712583
Domestic flows,Ohio,Hawaii,Multiple modes & mail,Milled grain prods.,,,,,16.35,1476530
Domestic flows,Utah,Hawaii,Air (include truck-air),Milled grain prods.,,,,,0.306,692
Domestic flows,Utah,Hawaii,Multiple modes & mail,Milled grain prods.,,,,,48.171,3606259
Domestic flows,Virginia,Hawaii,Multiple modes & mail,Milled grain prods.,,,,,0.604,7006
Domestic flows,Washington,Hawaii,Multiple modes & mail,Milled grain prods.,,,,,4315.102,5591152
Domestic flows,Wyoming,Hawaii,Air (include truck-air),Milled grain prods.,,,,,0.117,264
Domestic flows,Arizona,Hawaii,Air (include truck-air),Other foodstuffs,,,,,3429.464,76427199
Domestic flows,Arizona,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,83.531,4591259
Domestic flows,California,Hawaii,Air (include truck-air),Other foodstuffs,,,,,1347.539,8843726
Domestic flows,California,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,115223.911,679520141
Domestic flows,Colorado,Hawaii,Air (include truck-air),Other foodstuffs,,,,,50.143,1364897
Domestic flows,Colorado,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,13.106,2313067
Domestic flows,Connecticut,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,799.591,12957046
Domestic flows,Florida,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,0.461,65276
Domestic flows,Hawaii,Alaska,Air (include truck-air),Other foodstuffs,,,,,0.045,569
Domestic flows,Hawaii,Arizona,Air (include truck-air),Other foodstuffs,,,,,0.051,135
Domestic flows,Hawaii,Arizona,Multiple modes & mail,Other foodstuffs,,,,,658.994,157901
Domestic flows,Hawaii,California,Air (include truck-air),Other foodstuffs,,,,,317.859,4982407
Domestic flows,Hawaii,California,Multiple modes & mail,Other foodstuffs,,,,,50143.422,94796446
Domestic flows,Hawaii,Colorado,Air (include truck-air),Other foodstuffs,,,,,0.216,10863
Domestic flows,Hawaii,Connecticut,Air (include truck-air),Other foodstuffs,,,,,0.163,120
Domestic flows,Hawaii,Florida,Air (include truck-air),Other foodstuffs,,,,,4.879,651707
Domestic flows,Hawaii,Georgia,Air (include truck-air),Other foodstuffs,,,,,0.171,422
Domestic flows,Hawaii,Hawaii,Truck,Other foodstuffs,,,,,685266.31,1596114669
Domestic flows,Hawaii,Hawaii,Water,Other foodstuffs,,,,,930.701,3531593
Domestic flows,Hawaii,Hawaii,Water,Other foodstuffs,,,,,6058.481,29222560
Domestic flows,Hawaii,Hawaii,Air (include truck-air),Other foodstuffs,,,,,11338.523,89317487
Domestic flows,Hawaii,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,0.2,28123
Domestic flows,Hawaii,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,38258.606,317503882
Domestic flows,Hawaii,Idaho,Air (include truck-air),Other foodstuffs,,,,,0.054,119
Domestic flows,Hawaii,Illinois,Air (include truck-air),Other foodstuffs,,,,,0.093,271
Domestic flows,Hawaii,Iowa,Air (include truck-air),Other foodstuffs,,,,,0.046,119
Domestic flows,Hawaii,Kansas,Air (include truck-air),Other foodstuffs,,,,,0.162,119
Domestic flows,Hawaii,Kentucky,Air (include truck-air),Other foodstuffs,,,,,9.902,233143
Domestic flows,Hawaii,Maryland,Air (include truck-air),Other foodstuffs,,,,,0.185,120
Domestic flows,Hawaii,Massachusetts,Air (include truck-air),Other foodstuffs,,,,,0.352,556
Domestic flows,Hawaii,Michigan,Air (include truck-air),Other foodstuffs,,,,,4.913,872497
Domestic flows,Hawaii,Minnesota,Air (include truck-air),Other foodstuffs,,,,,0.352,52156
Domestic flows,Hawaii,Missouri,Air (include truck-air),Other foodstuffs,,,,,0.158,119
Domestic flows,Hawaii,Nevada,Air (include truck-air),Other foodstuffs,,,,,0.858,107101
Domestic flows,Hawaii,Nevada,Multiple modes & mail,Other foodstuffs,,,,,0.045,120
Domestic flows,Hawaii,New Jersey,Air (include truck-air),Other foodstuffs,,,,,0.372,671
Domestic flows,Hawaii,New Mexico,Air (include truck-air),Other foodstuffs,,,,,0.235,292
Domestic flows,Hawaii,New York,Air (include truck-air),Other foodstuffs,,,,,6.117,947072
Domestic flows,Hawaii,North Carolina,Air (include truck-air),Other foodstuffs,,,,,0.51,885
Domestic flows,Hawaii,Ohio,Air (include truck-air),Other foodstuffs,,,,,0.158,278
Domestic flows,Hawaii,Oklahoma,Air (include truck-air),Other foodstuffs,,,,,0.46,803
Domestic flows,Hawaii,Oregon,Air (include truck-air),Other foodstuffs,,,,,0.09,2173
Domestic flows,Hawaii,Oregon,Multiple modes & mail,Other foodstuffs,,,,,0.045,1989
Domestic flows,Hawaii,Pennsylvania,Air (include truck-air),Other foodstuffs,,,,,0.051,119
Domestic flows,Hawaii,Pennsylvania,Multiple modes & mail,Other foodstuffs,,,,,13478.851,5016520
Domestic flows,Hawaii,South Dakota,Air (include truck-air),Other foodstuffs,,,,,0.358,576
Domestic flows,Hawaii,Texas,Air (include truck-air),Other foodstuffs,,,,,7.222,1102971
Domestic flows,Hawaii,Texas,Multiple modes & mail,Other foodstuffs,,,,,2695.737,1170103
Domestic flows,Hawaii,Utah,Air (include truck-air),Other foodstuffs,,,,,0.269,5781
Domestic flows,Hawaii,Virginia,Air (include truck-air),Other foodstuffs,,,,,13.957,2104025
Domestic flows,Hawaii,Washington,Air (include truck-air),Other foodstuffs,,,,,0.135,885
Domestic flows,Hawaii,Washington,Multiple modes & mail,Other foodstuffs,,,,,6.608,1030163
Domestic flows,Hawaii,Wyoming,Air (include truck-air),Other foodstuffs,,,,,0.367,828
Domestic flows,Iowa,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,10419.963,15102264
Domestic flows,Kansas,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,0.089,175
Domestic flows,Kentucky,Hawaii,Air (include truck-air),Other foodstuffs,,,,,34.954,5296873
Domestic flows,Massachusetts,Hawaii,Air (include truck-air),Other foodstuffs,,,,,0.118,185
Domestic flows,Massachusetts,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,853.4,4184477
Domestic flows,Michigan,Hawaii,Air (include truck-air),Other foodstuffs,,,,,46.201,3320009
Domestic flows,Michigan,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,0.115,332
Domestic flows,Missouri,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,2.814,434507
Domestic flows,Nevada,Hawaii,Air (include truck-air),Other foodstuffs,,,,,0.288,454
Domestic flows,Nevada,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,4136.901,6610159
Domestic flows,New Hampshire,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,0.05,543
Domestic flows,New York,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,7.321,236287
Domestic flows,North Carolina,Hawaii,Air (include truck-air),Other foodstuffs,,,,,82.427,5284907
Domestic flows,Ohio,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,354.633,28004464
Domestic flows,Oklahoma,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,0.165,24024
Domestic flows,Oregon,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,6.286,1919
Domestic flows,Pennsylvania,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,0.066,9297
Domestic flows,South Carolina,Hawaii,Air (include truck-air),Other foodstuffs,,,,,0.134,22897
Domestic flows,Utah,Hawaii,Air (include truck-air),Other foodstuffs,,,,,373.152,2346800
Domestic flows,Utah,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,2833.028,7632341
Domestic flows,Virginia,Hawaii,Air (include truck-air),Other foodstuffs,,,,,1258.714,125050
Domestic flows,Virginia,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,8.067,1291280
Domestic flows,Washington,Hawaii,Air (include truck-air),Other foodstuffs,,,,,1164.994,13221487
Domestic flows,Washington,Hawaii,Multiple modes & mail,Other foodstuffs,,,,,1016.015,20340830
Domestic flows,Wyoming,Hawaii,Air (include truck-air),Other foodstuffs,,,,,0.116,182
Domestic flows,Arkansas,Hawaii,Air (include truck-air),Alcoholic beverages,,,,,666.862,164734
Domestic flows,Arkansas,Hawaii,Multiple modes & mail,Alcoholic beverages,,,,,8.143,1044693
Domestic flows,California,Hawaii,Water,Alcoholic beverages,,,,,747.519,148080
Domestic flows,California,Hawaii,Air (include truck-air),Alcoholic beverages,,,,,5002.937,16989769
Domestic flows,California,Hawaii,Multiple modes & mail,Alcoholic beverages,,,,,76824.361,204611913
Domestic flows,Florida,Hawaii,Multiple modes & mail,Alcoholic beverages,,,,,11060.509,40561156
Domestic flows,Hawaii,California,Air (include truck-air),Alcoholic beverages,,,,,903.794,1383797
Domestic flows,Hawaii,California,Multiple modes & mail,Alcoholic beverages,,,,,17.579,415904
Domestic flows,Hawaii,Hawaii,Truck,Alcoholic beverages,,,,,357666.285,912975267
Domestic flows,Hawaii,Hawaii,Water,Alcoholic beverages,,,,,5186.704,6103801
Domestic flows,Hawaii,Hawaii,Water,Alcoholic beverages,,,,,0.347,65281
Domestic flows,Hawaii,Hawaii,Air (include truck-air),Alcoholic beverages,,,,,5697.156,61858114
Domestic flows,Hawaii,Hawaii,Multiple modes & mail,Alcoholic beverages,,,,,5407.333,20497974
Domestic flows,Hawaii,Hawaii,Multiple modes & mail,Alcoholic beverages,,,,,3576.922,9348083
Domestic flows,Hawaii,Iowa,Air (include truck-air),Alcoholic beverages,,,,,0.056,119
Domestic flows,Hawaii,Mississippi,Air (include truck-air),Alcoholic beverages,,,,,0.701,105815
Domestic flows,Hawaii,Montana,Air (include truck-air),Alcoholic beverages,,,,,0.199,262
Domestic flows,Hawaii,Nevada,Air (include truck-air),Alcoholic beverages,,,,,0.461,105588
Domestic flows,Hawaii,Oregon,Air (include truck-air),Alcoholic beverages,,,,,0.196,39601
Domestic flows,Hawaii,Oregon,Multiple modes & mail,Alcoholic beverages,,,,,1.605,372004
